text_cli,gref_cli,grf_cli,ft_cli,grs_cli,ssr_cli,text_ari,gref_ari,grf_ari,ft_ari,grs_ari,ssr_ari,text_lwf,gref_lwf,grf_lwf,ft_lwf,grs_lwf,ssr_lwf,text_MATTR,gref_MATTR,grf_MATTR,ft_MATTR,grs_MATTR,ssr_MATTR,text_MTLD,gref_MTLD,grf_MTLD,ft_MTLD,grs_MTLD,ssr_MTLD,text_HDD,gref_HDD,grf_HDD,ft_HDD,grs_HDD,ssr_HDD,text_entropy,gref_entropy,grf_entropy,ft_entropy,grs_entropy,ssr_entropy,text_sent,gref_sent,grf_sent,ft_sent,grs_sent,ssr_sent,text_word,gref_word,grf_word,ft_word,grs_word,ssr_word,text_char,gref_char,grf_char,ft_char,grs_char,ssr_char,text_sdensity,gref_sdensity,grf_sdensity,ft_sdensity,grs_sdensity,ssr_sdensity,text_wdensity,gref_wdensity,grf_wdensity,ft_wdensity,grs_wdensity,ssr_wdensity
15.81,20.68,19.81,17.42,19.81,18.7,2235.7,115.4,61.2,30.6,61.2,58.4,64.0,78.0,80.0,40.5,80.0,77.0,98.99472113839829,100.0,100.0,100.0,100.0,99.36842105263158,95.67188377212642,153.76392961876832,154.35000000000002,77.315,154.35000000000002,64.06903456998313,98.19873343144725,98.81671340473319,98.915931030542,98.51988899167499,98.915931030542,97.23192425657436,4.370640787058409,4.271420431080677,4.256097547293229,4.311946479288576,4.256097547293229,4.3987089112915365,199,11,5,3,5,5,5254,243,117,56,117,114,25223,1369,667,285,667,624,3.787590407308717,4.526748971193416,4.273504273504273,5.357142857142857,4.273504273504273,4.385964912280701,20.830194663600683,17.75018261504748,17.541229385307346,19.649122807017545,17.541229385307346,18.269230769230766
15.81,21.26,22.82,21.13,22.82,22.13,369.6,160.1,58.8,36.4,58.8,51.8,71.0,76.0,77.0,47.5,77.0,74.5,99.18367346938773,99.86254295532648,100.0,100.0,100.0,99.23076923076923,71.36738932095898,171.5668767507003,164.93866666666673,108.16000000000004,164.93866666666673,62.286851776235196,97.01129274726834,98.68745045457177,98.84118418062728,98.80241327300241,98.84118418062728,97.04486101985304,4.368630231620472,4.3625858287350505,4.404123879955637,4.328961229563113,4.404123879955637,4.243732175222004,32,16,4,2,4,3,902,360,117,60,117,103,4172,1983,659,353,659,562,3.5476718403547673,4.444444444444445,3.418803418803419,3.3333333333333335,3.418803418803419,2.912621359223301,21.620325982742088,18.15431164901664,17.754172989377846,16.997167138810198,17.754172989377846,18.327402135231317
20.62,19.46,17.72,21.13,17.72,18.01,117.8,124.7,60.2,35.2,60.2,52.8,73.0,74.0,76.0,41.5,76.0,76.0,99.4392523364486,99.30434782608697,99.02912621359224,97.87234042553192,99.02912621359224,99.77011494252874,72.66666666666667,133.8725251414205,114.49,46.01431034482759,114.49,41.3485401459854,96.79568321375717,98.09061185741395,97.9474570280602,96.27416072812223,97.9474570280602,95.4645423455964,4.236624330966545,4.212853474672733,4.228132336598341,4.175618036607486,4.228132336598341,4.254662602027172,12,11,5,2,5,5,240,260,122,57,122,112,1400,1448,639,337,639,556,5.0,4.230769230769231,4.098360655737705,3.508771929824561,4.098360655737705,4.464285714285714,17.142857142857142,17.955801104972377,19.092331768388107,16.913946587537094,19.092331768388107,20.14388489208633
13.37,18.3,16.79,21.66,16.79,24.33,1133.5,236.1,58.4,43.7,58.4,60.9,73.0,65.0,68.0,56.0,68.0,86.0,98.20547330641524,99.37639198218265,99.5959595959596,99.37499999999999,99.5959595959596,98.29787234042551,62.77316376846566,239.95406908518925,212.17999999999995,69.96444444444445,212.17999999999995,62.005759468957436,97.34131949727323,98.71565994967258,99.39308608188529,97.452076566983,99.39308608188529,97.55135290283036,4.245994224944975,4.27791430932161,4.305870462211964,4.2096297368372495,4.305870462211964,4.210521836033062,102,24,7,5,7,5,2577,540,127,74,127,109,11741,2773,614,449,614,694,3.958090803259604,4.444444444444445,5.511811023622047,6.756756756756757,5.511811023622047,4.587155963302752,21.948726684268802,19.473494410385864,20.684039087947884,16.481069042316257,20.684039087947884,15.706051873198849
14.82,23.05,24.62,25.08,24.62,15.8,957.1,95.6,61.3,40.7,61.3,55.1,73.0,77.0,79.0,46.5,79.0,75.0,98.721804511278,99.6341463414634,100.0,100.0,100.0,98.95833333333331,57.52692660083478,168.07148936170213,131.726,53.04,131.726,58.26173779779873,96.29513036355064,98.51080003172734,98.77178582808999,96.91328839228066,98.77178582808999,97.16165786839545,4.311948651227505,4.287241954793141,4.282021576614446,4.41052166737118,4.282021576614446,4.377917532675616,66,7,4,5,4,5,2155,197,113,63,113,113,10341,1168,703,405,703,564,3.062645011600928,3.5532994923857872,3.5398230088495577,7.936507936507936,3.5398230088495577,4.424778761061947,20.83937723624408,16.866438356164384,16.073968705547653,15.555555555555555,16.073968705547653,20.0354609929078
17.38,21.78,21.78,27.46,21.78,19.17,129.6,61.8,61.8,46.6,61.8,64.4,69.0,78.0,79.0,59.5,79.0,78.0,99.25619834710746,100.0,100.0,97.58620689655172,100.0,99.07407407407408,106.44429328161632,252.37333333333328,252.37333333333328,56.786187500000004,252.37333333333328,72.18555869302139,98.3260297041835,99.51566138030952,99.51566138030952,96.77591816538056,99.51566138030952,97.50798248504852,4.252268431496714,4.2473873967805185,4.266437752037739,4.436817278881439,4.266437752037739,4.255290375685847,12,7,7,5,7,6,275,116,116,72,116,128,1446,691,691,488,691,703,4.363636363636364,6.0344827586206895,6.0344827586206895,6.944444444444445,6.0344827586206895,4.6875,19.017980636237898,16.78726483357453,16.78726483357453,14.754098360655737,16.78726483357453,18.207681365576104
13.55,18.88,17.72,17.36,17.72,20.85,904.6,240.9,64.0,31.8,64.0,60.7,66.0,72.0,75.0,38.0,75.0,80.0,98.82882882882865,98.96103896103898,99.27927927927927,97.39130434782608,99.27927927927927,99.79797979797979,67.39195978935547,170.0679521279099,217.82352941176467,77.77777777777776,217.82352941176467,40.70122197196356,97.26087097206147,98.37116307117203,99.01477511672448,97.77507598784106,99.01477511672448,96.13716163164226,4.248762090890252,4.230311462535353,4.123348394818104,4.080955967998432,4.123348394818104,4.128063886140813,71,21,6,5,6,6,2001,531,126,59,126,117,9382,2857,681,300,681,670,3.5482258870564722,3.954802259887006,4.761904761904762,8.47457627118644,4.761904761904762,5.128205128205128,21.328075037305478,18.585929296464823,18.502202643171806,19.666666666666664,18.502202643171806,17.46268656716418
11.23,18.83,16.33,19.34,16.33,14.64,545.2,642.9,61.2,40.0,61.2,56.9,59.0,63.0,65.0,53.0,65.0,68.0,98.90109890109882,99.30434782608693,98.5185185185185,98.21428571428571,98.5185185185185,98.61386138613861,130.72837293069279,263.533064516129,195.1288888888889,72.00000000000003,195.1288888888889,52.5,97.99471228998722,99.08747622222126,99.14089443906231,98.20377946619799,99.14089443906231,97.33598654673801,4.260561544404434,4.271891099946961,4.3179292301634575,4.354337771118853,4.3179292301634575,4.184582266851634,53,56,6,4,6,7,1204,1469,130,73,130,124,5220,7781,640,400,640,575,4.401993355481728,3.8121170864533696,4.615384615384616,5.47945205479452,4.615384615384616,5.64516129032258,23.065134099616856,18.879321423981494,20.3125,18.25,20.3125,21.565217391304348
12.56,21.2,19.75,19.79,19.75,15.98,2414.0,346.3,59.9,28.4,59.9,54.0,59.0,74.0,77.0,30.0,77.0,78.0,98.46540880503214,99.67115097159937,100.0,100.0,100.0,97.82608695652172,96.91393339283971,227.16702211902265,208.08000000000007,80.86400000000003,208.08000000000007,59.64781675017896,97.29440414464253,98.82612190706313,99.26924457151944,98.57752489331676,99.26924457151944,96.97959317627043,4.241234647323314,4.250104195116652,4.283491810004526,4.608339564421974,4.283491810004526,4.262268570659779,210,29,4,1,4,5,5607,766,117,47,117,114,24494,4392,652,249,652,555,3.7453183520599254,3.7859007832898173,3.418803418803419,2.127659574468085,3.418803418803419,4.385964912280701,22.89132032334449,17.440801457194897,17.94478527607362,18.87550200803213,17.94478527607362,20.54054054054054
12.5,22.31,19.81,20.26,19.81,28.22,2329.4,128.4,64.4,40.2,64.4,60.1,70.0,78.0,79.0,51.0,79.0,80.0,98.52755390982425,99.65517241379311,99.62962962962962,97.93103448275862,99.62962962962962,98.83720930232558,71.9018682795699,208.93577981651376,167.25333333333336,46.147367884105286,167.25333333333336,55.209471766848814,97.20370746262415,99.05716320204915,99.07566687383449,96.57817135584428,99.07566687383449,96.95920123174704,4.2695555163043695,4.226030486931516,4.222880096916054,4.137133478768589,4.222880096916054,4.238111658244244,185,14,7,4,7,4,5417,277,128,71,128,100,23613,1592,709,403,709,698,3.4151744508030277,5.054151624548736,5.46875,5.633802816901409,5.46875,4.0,22.940752975056114,17.399497487437184,18.053596614950635,17.617866004962778,18.053596614950635,14.326647564469914
16.33,18.25,16.33,19.49,16.33,19.92,2146.7,135.8,60.4,18.5,60.4,55.5,70.0,73.0,76.0,17.0,76.0,73.0,98.61137440758355,99.68379446640317,99.81132075471699,100.0,99.81132075471699,99.77777777777777,64.62962881399268,159.961981277346,141.1666666666667,45.359999999999985,141.1666666666667,55.17753252946386,97.7174245152932,98.5783188358061,98.6254304444417,97.38562091503286,98.6254304444417,96.62395330325407,4.429229368757587,4.261322659776206,4.250590167740428,4.343934012974173,4.250590167740428,4.1817032655344315,214,11,5,1,5,5,5056,291,121,21,121,107,24708,1548,626,118,626,597,4.2325949367088604,3.7800687285223367,4.132231404958678,4.761904761904762,4.132231404958678,4.672897196261682,20.46300793265339,18.7984496124031,19.329073482428115,17.796610169491526,19.329073482428115,17.922948073701843
14.88,17.26,18.88,21.42,18.88,13.37,2265.0,113.5,65.0,40.3,65.0,57.7,71.0,72.0,75.0,54.5,75.0,72.0,99.22066153149105,98.67298578199058,98.91891891891892,97.49999999999999,98.91891891891892,98.47619047619047,101.17610286282958,140.17375415436175,185.15,48.08718330849479,185.15,75.42315019665682,98.55094164207988,98.34587772936258,99.00842442306396,97.4533206189045,99.00842442306396,97.55849369712894,4.334794220079488,4.275527353781121,4.286787337710211,4.294659587640258,4.286787337710211,4.223346136298386,224,8,4,4,4,6,5297,243,128,73,128,124,24860,1253,707,404,707,569,4.228808759675288,3.292181069958848,3.125,5.47945205479452,3.125,4.838709677419355,21.307320997586483,19.39345570630487,18.104667609618105,18.06930693069307,18.104667609618105,21.79261862917399
15.52,18.07,19.23,25.72,19.23,19.46,759.5,106.7,64.6,36.9,64.6,57.6,72.0,87.0,87.0,43.5,87.0,78.5,99.13862718707932,99.79591836734694,99.81818181818181,99.06976744186046,99.81818181818181,97.68421052631578,100.93020503821612,200.0,158.21217391304353,56.229090909090914,158.21217391304353,53.940417080436944,97.55933281337853,98.64565409847067,98.5243281226022,96.9405432680184,98.5243281226022,96.47678211684953,4.354738581249669,4.16822484690705,4.182306304984707,4.177512049539837,4.182306304984707,4.178030171634965,65,7,3,3,3,4,1709,218,122,54,122,113,8476,1196,702,348,702,621,3.8033937975424226,3.211009174311927,2.459016393442623,5.555555555555555,2.459016393442623,3.5398230088495577,20.162812647475224,18.22742474916388,17.37891737891738,15.517241379310345,17.37891737891738,18.19645732689211
15.98,20.33,19.11,25.54,19.11,15.4,327.2,129.5,63.1,41.3,63.1,60.7,67.0,72.0,74.0,47.0,74.0,67.0,98.96062992125985,99.57264957264957,99.05660377358491,100.0,99.05660377358491,98.47619047619047,71.10497180580387,251.7511111111112,169.40000000000006,73.17333333333333,169.40000000000006,54.5,97.41304995801838,99.09141933497834,98.8877033492596,98.07359307359529,98.8877033492596,96.73819515825893,4.292782154140118,4.249119004388558,4.267736761823894,4.26806684902083,4.267736761823894,4.276298553003477,26,13,4,3,4,6,733,272,121,59,121,124,3640,1537,684,413,684,621,3.547066848567531,4.779411764705882,3.3057851239669422,5.084745762711865,3.3057851239669422,4.838709677419355,20.13736263736264,17.696811971372803,17.690058479532166,14.285714285714285,17.690058479532166,19.96779388083736
17.84,24.1,23.69,19.86,23.69,19.17,479.8,110.5,58.1,37.5,58.1,54.2,78.0,78.0,78.5,49.0,78.5,70.5,99.03536977491954,99.27083333333336,99.5505617977528,99.24528301886791,99.5505617977528,99.32584269662921,91.49876541319614,176.6324110671937,134.53999999999996,69.97846153846153,134.53999999999996,100.90500000000002,97.8413267811049,98.30927963833001,97.9924078456979,97.78511936406845,97.9924078456979,97.99170361062954,4.258900923881603,4.176204487109145,4.214579092359675,4.301579517785847,4.214579092359675,4.158852723527142,44,11,5,4,5,5,1076,227,107,67,107,103,5663,1396,652,369,652,575,4.089219330855019,4.845814977973569,4.672897196261682,5.970149253731343,4.672897196261682,4.854368932038835,19.00052975454706,16.26074498567335,16.411042944785276,18.157181571815716,16.411042944785276,17.91304347826087
13.84,21.15,21.55,23.05,21.55,21.2,604.4,110.1,63.1,36.3,63.1,60.8,68.0,78.0,82.0,43.0,82.0,80.0,98.86010362694289,99.49238578680203,99.21568627450979,97.39130434782608,99.21568627450979,98.98989898989898,72.2835893805402,187.9818652849741,209.73866666666672,50.0,209.73866666666672,53.92044167610419,97.82848001336578,99.03575482038111,99.2874219875542,97.11181068171857,99.2874219875542,97.73334135241359,4.253421925482576,4.250946276927062,4.244105618752623,4.185746907089494,4.244105618752623,4.228126378281647,47,13,8,3,8,7,1352,226,118,57,118,114,6338,1311,705,347,705,673,3.4763313609467454,5.752212389380531,6.779661016949152,5.263157894736842,6.779661016949152,6.140350877192982,21.331650362890503,17.238749046529367,16.73758865248227,16.42651296829971,16.73758865248227,16.939078751857355
16.27,17.72,19.17,22.0,19.17,17.89,1388.1,118.3,64.1,35.8,64.1,65.0,74.0,79.0,82.0,46.5,82.0,81.0,99.04797047970487,99.8173515981735,99.63302752293578,99.11111111111111,99.63302752293578,100.0,94.10504227910788,158.22570504626964,143.0128,56.023333333333326,143.0128,74.21891972800753,98.17355181539996,98.68451121969744,98.75773917017827,96.5777257557363,98.75773917017827,97.47857610730946,4.319146581512891,4.217942156660374,4.17082723354215,4.349681874529913,4.17082723354215,4.143542069546238,120,7,4,4,4,5,3217,247,123,59,123,125,15845,1318,697,342,697,694,3.730183400683867,2.834008097165992,3.2520325203252036,6.779661016949152,3.2520325203252036,4.0,20.30293467970969,18.740515933232167,17.647058823529413,17.251461988304094,17.647058823529413,18.011527377521613
13.32,16.39,18.36,19.9,18.36,26.53,252.1,145.8,64.7,22.9,64.7,63.8,62.0,76.0,79.0,25.0,79.0,88.0,99.12681912681917,99.42028985507247,99.09909909909909,100.0,99.09909909909909,100.0,54.21833793238088,158.67144085136266,154.29166666666669,36.586666666666666,154.29166666666669,33.333333333333336,96.68005265227389,98.80712353821411,98.71446695418041,96.82539682539742,98.71446695418041,95.1696419273737,4.2983871486276275,4.20104265108587,4.245423434091982,4.147141447236879,4.245423434091982,4.085067832024552,20,13,6,2,6,6,570,319,130,30,130,114,2597,1597,698,180,698,749,3.508771929824561,4.075235109717868,4.615384615384616,6.666666666666667,4.615384615384616,5.263157894736842,21.948402002310356,19.97495303694427,18.624641833810887,16.666666666666664,18.624641833810887,15.220293724966622
13.43,18.71,18.01,20.83,18.01,17.48,2254.2,126.2,55.8,20.5,55.8,35.7,74.0,77.0,78.0,18.5,78.0,46.0,98.68788249694042,99.74358974358975,99.78723404255318,100.0,99.78723404255318,98.14814814814814,56.4241530262657,260.0052459016394,192.07999999999996,24.695999999999998,192.07999999999996,58.0,98.41721656347858,98.94304328992473,99.12812683402578,95.23809523809545,99.12812683402578,97.49133806302515,4.48876128322902,4.135687359214136,4.175921292172285,4.046186152216257,4.175921292172285,4.096987788681075,202,14,6,2,6,3,5584,270,110,23,110,65,24017,1448,588,140,588,346,3.617478510028653,5.185185185185185,5.454545454545454,8.695652173913043,5.454545454545454,4.615384615384616,23.250197776574925,18.646408839779006,18.70748299319728,16.428571428571427,18.70748299319728,18.786127167630056
14.82,19.75,18.99,22.58,18.99,20.21,2203.1,69.2,62.5,37.3,62.5,53.4,59.0,73.0,76.0,43.5,76.0,73.5,97.4965924579746,99.66101694915254,99.62264150943396,96.3265306122449,99.62264150943396,98.58823529411764,46.72721403672578,138.91733333333332,125.48148148148148,53.0,125.48148148148148,84.53212851405623,95.60517308087316,98.71620762000498,98.7127642713703,97.14812601383173,98.7127642713703,97.75903772129655,4.250529659987061,4.193107849858079,4.1931828695456295,4.216208809494847,4.1931828695456295,4.217290152950983,212,6,6,2,6,5,4862,136,122,60,122,104,23900,768,677,363,677,572,4.3603455368161255,4.411764705882353,4.918032786885246,3.3333333333333335,4.918032786885246,4.807692307692308,20.343096234309623,17.708333333333336,18.020679468242246,16.528925619834713,18.020679468242246,18.181818181818183
16.8,20.62,18.99,20.9,18.99,19.05,2181.8,106.5,62.6,42.3,62.6,58.2,70.0,69.0,74.0,51.5,74.0,80.0,99.13360915064513,99.68253968253971,100.0,100.0,100.0,98.76288659793812,68.9187724827294,217.28583333333336,199.29411764705887,111.13200000000002,199.29411764705887,49.598015658476996,97.97046957522035,99.26057834328259,99.27159791345969,98.78119412757107,99.27159791345969,97.52442713238652,4.332506895470115,4.307631515899715,4.27193552883085,4.313378674858966,4.27193552883085,4.238559112023914,146,11,5,3,5,5,4925,222,123,74,123,113,25133,1261,678,430,678,624,2.964467005076142,4.954954954954955,4.0650406504065035,4.054054054054054,4.0650406504065035,4.424778761061947,19.595750606771972,17.6050753370341,18.141592920353983,17.209302325581397,18.141592920353983,18.108974358974358
12.5,19.7,19.05,15.74,19.05,14.53,2420.9,120.0,62.1,37.1,62.1,61.4,62.0,72.0,74.0,48.5,74.0,72.0,97.84023668639146,99.36363636363637,99.23809523809523,97.3333333333333,99.23809523809523,97.1171171171171,46.63641439520836,153.3656086939464,127.94923076923078,50.52373660030628,127.94923076923078,35.04574042309892,95.75230326903001,98.00739245166012,98.37364416700113,96.60552963914174,98.37364416700113,94.46201490540618,4.321807000952352,4.219425847874247,4.234839393776547,4.193861828756605,4.234839393776547,4.128851522737389,205,10,5,4,5,6,5420,251,122,73,122,127,24429,1397,673,361,673,619,3.782287822878229,3.9840637450199203,4.098360655737705,5.47945205479452,4.098360655737705,4.724409448818897,22.186745261779034,17.96707229778096,18.12778603268945,20.221606648199447,18.12778603268945,20.516962843295637
16.45,21.15,19.92,25.14,19.92,19.86,358.6,266.1,58.0,40.7,58.0,59.8,72.0,77.0,80.0,48.5,80.0,85.0,98.69894099848715,99.64143426294821,100.0,98.82352941176472,100.0,97.11340206185565,72.93671248568157,198.99075039082857,224.0933333333333,120.99999999999997,224.0933333333333,54.99635614702156,98.07629413395532,98.81377641093721,99.29252438903276,98.93018232640917,99.29252438903276,97.53971180834095,4.374359793462832,4.291401353598034,4.286219014122086,4.322142148054738,4.286219014122086,4.198254281753226,27,23,6,4,6,5,856,569,114,63,114,114,4118,3329,630,405,630,650,3.1542056074766354,4.042179261862917,5.263157894736842,6.349206349206349,5.263157894736842,4.385964912280701,20.78678970373968,17.092219885851605,18.095238095238095,15.555555555555555,18.095238095238095,17.53846153846154
